URL,Product Name,Brand Name,Price,Category,Image URL,Description
https://www.hamleys.in/product/skillofun-king-size-identification-tray-sports-with-knobs-multicolour-4y-492337161,Product name not found,Skillofun,337,Toys & Games,https://cdn.pixelspray.io/v2/black-bread-289bfa/HrdP6X/original/hamleys-product/492337161/300/492337161-1.jpeg,"A very attractive & fun toy  Identify the images, 10 in number, and take them out of the tray by lifting them from their knobs  Then put them back in their right place
This puzzle is self-corrective
Comes with an eco-friendly pouch to store the pieces after play! This product is 100% non-toxic."
https://www.hamleys.in/product/fun-dough-molly-dolly-2015-plastic-multicolour-3y-491898216,Fun Dough Molly Dolly 2015 Plastic Multicolour 3Y+,FUN DOUGH,567,Toys & Games,https://cdn.pixelspray.io/v2/black-bread-289bfa/HrdP6X/original/hamleys-product/491898216/300/491898216-1.jpeg,Lets roll out some fun dough and wrap the body of molly to dress her up  You can take the scissors and snip snip give molly a beautiful haircut.  Keeps your child entertained for hours of fun.
https://www.hamleys.in/product/chu-chu-to-count-your-eggs-plastic-multicolour-3y-491898714,Product name not found,Chu Chu Tv,379,Toys & Games,https://cdn.pixelspray.io/v2/black-bread-289bfa/HrdP6X/original/hamleys-product/491898714/300/491898714-1.jpeg,Mr. Eggsie on the lookout for the eggs that are scattered across the farm  Players take turns to help move around the farm and collect the eggs  Interactive game to keep kids involved for hours.
https://www.hamleys.in/product/1-2-3-Bowl-Them-Down-This-Adorable-Classic-Game-Gets-A-Modern-Day-Wooden-Makeover-492409618,"Pepplay Doodle Placemats Set Vehicle Series, 8 Cm, Multicolor, 3Y+",Shumee,999,Sports & Outdoor,https://cdn.pixelspray.io/v2/black-bread-289bfa/HrdP6X/original/hamleys-product/492409618/300/492409618-1.jpeg,"Active play, indoors & outdoors, is good exercise and builds gross motor skills. By aiming and throwing or picking out specific coloured pins to bring down, focus and fine motor skills improve. Work on your child's social skills & rule-based playing by hosting bowling tournaments. Stack 'em up & bring down as many pins as you can! Play solo or with friends."
https://www.hamleys.in/product/Scoobies-Non-Toxic-Palm-Grip-Finger-Painting-Wax-3D-Crayons-For-Toddlers-Multicolour-28-Cm-3Y-492908785,"Scoobies 3D Basketball Print Pencil Box With Separate Pen-Pencil Holder, Dual Mesh Compartments, Non-Toxic Unbreakable Zippers & Lightweight Pouch For Kids, Blue, 5 Cm, 3Y+",Scoobies,499,School & Travel,https://cdn.pixelspray.io/v2/black-bread-289bfa/HrdP6X/original/hamleys-product/492908785/300/492908785-1.jpeg,"SPECIAL GRIP FOR LITTLE HANDS: Designed with round shape penholder specially for toddlers, kids, children. This palm grip design makes toddlers' little hands could easily hold these painting crayons
A COLORFUL DREAM: Each package contains 16 basic colors lovely baby crayons, The color is pure and bright. While drawing, assist the child to discern color,develop physical and thinking skills on colour
STIMULATE CREATIVITY AND IMAGINATION : Finger Crayons are not only painting crayons but also can be as the kids kitchen toys to place. They help to enhance kids' imagination, creativity and independence. They are special gifts for toddlers children.
GREAT DURABILITY : Kids often drop crayons from the desk accidentally which may make crayons broken. Our crayons use new synthetic technology, which make the crayons hard to be broken and more durable to be used
BEST GIFT FOR CREATIVE KIDS : This are first painting crayons for kids to develop creativity and imaginations, also can be used as building blocks to develop intelligence. Both parents and toddlers will love these peanut crayons, which are the perfect birthdays or holiday gift for children."
https://www.hamleys.in/product/frank-aeroplane-floor-puzzle-491396017,Shop Frank Aeroplane Floor Puzzle for Kids age 3Y+,Frank,399,Toys & Games,https://cdn.pixelspray.io/v2/black-bread-289bfa/HrdP6X/original/hamleys-product/491396017/300/491396017-1.webp,"If your kid is bored of all the existing toys and has been craving for something new and something creative, look no further; Frank comes up with this Aeroplane puzzle to excite all the little kids. This puzzle from Frank is an aeroplane shaped floor puzzle which comprises of all the intricate details from the original aeroplane. The floor puzzle has 15 pieces and the kid is expected to join it to finally discover the aeroplane. Designed for all the boys and girls above the age of 3, this aeroplane puzzle is sure to keep the little children occupied for long hours of time. The children are sure to enhance their eye-hand coordination and motor skills as they put these 15 puzzle pieces together to fully complete the puzzle. The children shall preserve this artefact for a lot more years to come with utmost care for all its vibrant colours and captivating designs. Delight your little children with this fascinating Frank Aeroplane puzzle and watch them rejoice over it."
https://www.hamleys.in/product/skillofun-king-size-identification-tray-7-wonders-of-the-modern-world-multicolour-4y-492337165,Product name not found,Skillofun,480,Toys & Games,https://cdn.pixelspray.io/v2/black-bread-289bfa/HrdP6X/original/hamleys-product/492337165/300/492337165-1.jpeg,A large tray to learn about the Seven Wonders of the Modern World in a fun way! There are Seven Wonders of the Modern World in this tray  All Wonders come out of their cavities easily by lifting them from their knobs  Match the Wonders to the cavity and put them back in the right place  Lift the Wonder to read more about it! This puzzle is self-corrective.
https://www.hamleys.in/product/skillmatics-guess-in-10-marvel-edition-paper-card-game-multicolor-3y-492365397,Buy Hamleys Skillmatics Guess in 10 Marvel Edition Paper card game Multicolor 3 - Exciting Card Game with colors cards,Skillmatics,499,Toys & Games,https://cdn.pixelspray.io/v2/black-bread-289bfa/HrdP6X/original/hamleys-product/492365397/300/492365397-1.webp,Exciting card game of questions- Ask up to 10 questions to guess the Marvel character on the Game Card!  Can she fly?  Is he a part of the Avengers?  Be the first player to win 7 Game Cards!
https://www.hamleys.in/product/sterling-horizons-india-map-puzzle-interesting-game-multicolour-4y-492164849,Product name not found,Sterling,249,Toys & Games,https://cdn.pixelspray.io/v2/black-bread-289bfa/HrdP6X/original/hamleys-product/492164849/300/492164849-1.jpeg,"This is a BIS certified product Which indicated good quality & Safe for Children  Puzzle pieces are cut in the shape of the States & Union Territories with different colours that it with each other to create the India map  Under each wooden piece of State/UT the capital city is mentioned
Increase your child's concentration and problem-solving skills It also helps in improving the colour recognition, motor skills and hand-eye coordination
Each wood piece is connected with a plastic knob and safe to use"
https://www.hamleys.in/product/sterling-horizons-construction-blocks-bucket-interesting-game-multicolour-3y-491554217,Buy Sterling educational and creative products for kids,Sterling,199,Toys & Games,https://cdn.pixelspray.io/v2/black-bread-289bfa/HrdP6X/original/hamleys-product/491554217/300/491554217-1.jpeg,"Sterling has now diversified into children toys and other products that aid learning and make growing up fun Our endeavour is to develop a strong bond with children with indigenous designed toys, which are manufactured to the best standards of quality and safety As the learning process begins, we have an answer to your childs learning and fun needs, so that their excitement never ends Sterlings educational and creative products help children explore various skills and help them learn as they play Its vital to make learning interesting, so that concepts are easily understood and do not become boring and mundane"
